3081::Sleepy Hollow::Sleepy Hollow::1999::Johnny Depp|Christina Ricci|Miranda Richardson|Michael Gambon|Casper Van Dien|Jeffrey Jones|Richard Griffiths|Ian McDiarmid|Michael Gough|Christopher Walken|Marc Pickering|Lisa Marie|Steven Waddington|Claire Skinner|Christopher Lee
3082::"World Is Not Enough, The"::"World Is Not Enough, The "::1999::Pierce Brosnan|Sophie Marceau|Robert Carlyle|Denise Richards|Robbie Coltrane|Judi Dench|Desmond Llewelyn|John Cleese|Maria Grazia Cucinotta|Samantha Bond|Michael Kitchen|Colin Salmon|Goldie|David Calder|Serena Scott Thomas
3083::All About My Mother::All About My Mother (Todo Sobre Mi Madre)::1999::Cecilia Roth|Marisa Paredes|Candela PeÒa|Antonia San Juan|PenÈlope Cruz|Rosa Maria Sard‡|Fernando Fern·n GÛmez|Toni CantÛ|Eloy AzorÌn|Carlos Lozano|Fernando GuillÈn|Manuel MorÛn|JosÈ Luis Torrijo|Juan JosÈ Otegui|Carmen BalaguÈ
3084::Home Page::Home Page::1999::Joey Anuff|Justin Hall|Jaime Levy|Julie Peterson|Howard Rheingold|Louis Rossetto|John Seabrook|Aliza Sherman|Carl Steadman|Stefanie Syman
3085::"Living Dead Girl, The"::"Living Dead Girl, The (La Morte Vivante) "::1982::Marina Pierro|FranÁoise Blanchard|Mike Marshall|Carina Barone|Fanny Magier|Patricia Besnard-Rousseau|VÈronique Pinson|Sandrine Morel|Jean Cherlian|Jean-Pierre Bouyxou|Alain Petit|Jacques Marbeuf|Sam Selsky|Lise Overman|Laurence Royer
3086::March of the Wooden Soldiers::March of the Wooden Soldiers (a.k.a. Laurel & Hardy in Toyland)::1934::Virginia Karns|Charlotte Henry|Felix Knight|Florence Roberts|Henry Brandon|Stan Laurel|Oliver Hardy
3087::Scrooged::Scrooged::1988::Bill Murray|Karen Allen|John Forsythe|John Glover|Bobcat Goldthwait|David Johansen|Carol Kane|Robert Mitchum|Nicholas Phillips|Michael J. Pollard|Alfre Woodard|Mabel King|John Murray|Jamie Farr|Robert Goulet
3088::Harvey::Harvey::195::Wallace Ford|William H. Lynn|Victoria Horne|Jesse White|Cecil Kellaway|Charles Drake|Peggy Dow|Josephine Hull|James Stewart|Nana Bryant|Grayce Mills|Clem Bevans|Gino Corrado|Jack Curtis|
3089::"Bicycle Thief, The"::"Bicycle Thief, The (Ladri di biciclette) "::1948::Lamberto Maggiorani|Enzo Staiola|Lianella Carell|Elena Altieri|Gino Saltamerenda|Giulio Chiari|Vittorio Antonucci|Michele Sakara|Fausto Guerzoni|Emma Druetti|Carlo Jachino|
3090::Matewan::Matewan::1987::Chris Cooper|Mary McDonnell|Will Oldham|David Strathairn|Ken Jenkins|Kevin Tighe|Gordon Clapp|Bob Gunton|Jace Alexander|Joe Grifasi|Nancy Mette|Jo Henderson|Josh Mostel|Gary McCleery|Maggie Renzi
3091::Kagemusha::Kagemusha::198::Tatsuya Nakadai|Tsutomu Yamazaki|Ken'ichi Hagiwara|Jinpachi Nezu|Hideji ‘taki|Daisuke Ry˚|Masayuki Yui|Kaori Momoi|Mitsuko BaishÙ|Hideo Murota|Takayuki Shiho|KÙji Shimizu|Noboru Shimizu|Sen Yamamoto|Shuhei Sugimori
3092::Chushingura::Chushingura::1962::Y˚zÙ Kayama|Tatsuya Mihashi|Akira Takarada|YÙsuke Natsuki|Makoto SatÙ|Tadao Takashima|SeizaburÙ Kawazu|Takashi Shimura|Daisuke KatÙ|Keiju Kobayashi|RyÙ Ikebe|Setsuko Hara|YÙko Tsukasa|Reiko Dan|Yuriko Hoshi
3093::McCabe & Mrs. Miller::McCabe & Mrs. Miller::1971::Warren Beatty|Julie Christie|Rene Auberjonois|William Devane|John Schuck|Corey Fischer|Bert Remsen|Shelley Duvall|Keith Carradine|Michael Murphy|Antony Holland|Hugh Millais|Manfred Schulz|Jace Van Der Veen|Jackie Crossland
3094::Maurice::Maurice::1987::James Wilby|Hugh Grant|Rupert Graves|Denholm Elliott|Simon Callow|Billie Whitelaw|Barry Foster|Judy Parfitt|Phoebe Nicholls|Patrick Godfrey|Mark Tandy|Ben Kingsley|Kitty Aldridge|Helena Michell|Catherine Rabett
3095::"Grapes of Wrath, The"::"Grapes of Wrath, The "::194::Henry Fonda|Jane Darwell|John Carradine|Charley Grapewin|Dorris Bowdon|Russell Simpson|O.Z. Whitehead|John Qualen|Eddie Quillan|Zeffie Tilbury|Frank Sully|Frank Darien|Darryl Hickman|Shirley Mills|Roger Imhof
3096::My Man Godfrey::My Man Godfrey::1957::William Powell|Carole Lombard|Alice Brady|Gail Patrick|Eugene Pallette|Jean Dixon|Alan Mowbray|Mischa Auer|Pat Flaherty|Robert Light
3097::"Shop Around the Corner, The"::"Shop Around the Corner, The "::194::Margaret Sullavan|James Stewart|Frank Morgan|Joseph Schildkraut|Sara Haden|Felix Bressart|William Tracy|Inez Courtney|Sarah Edwards|Edwin Maxwell|Charles Halton|Charles Smith
3098::"Natural, The"::"Natural, The "::1984::Robert Redford|Robert Duvall|Glenn Close|Kim Basinger|Wilford Brimley|Barbara Hershey|Robert Prosky|Richard Farnsworth|Joe Don Baker|John Finnegan|Alan Fudge|Paul Sullivan Jr.|Rachel Hall|Robert Rich III|Michael Madsen
3099::Shampoo::Shampoo::1975::Warren Beatty|Julie Christie|Goldie Hawn|Lee Grant|Jack Warden|Tony Bill|George Furth|Jay Robinson|Ann Weldon|Luana Anders|Randy Scheer|Susanna Moore|Carrie Fisher|Mike Olton|Richard E. Kalk
3100::"River Runs Through It, A"::"River Runs Through It, A "::1992::Craig Sheffer|Brad Pitt|Tom Skerritt|Brenda Blethyn|Emily Lloyd|Edie McClurg|Stephen Shellen|Vann Gravage|Nicole Burdette|Susan Traylor|Michael Cudlitz|Rob Cox|Buck Simmonds|Fred Oakland|David Creamer
3101::Fatal Attraction::Fatal Attraction::1987::Michael Douglas|Glenn Close|Anne Archer|Ellen Latzen|Stuart Pankin|Ellen Foley|Fred Gwynne|Meg Mundy|Tom Brennan|Lois Smith|Mike Nussbaum|J.J. Johnston|Michael Arkin|Sam Coppola|Eunice Prewitt
3102::Jagged Edge::Jagged Edge::1985::Maria Mayenzet|Peter Coyote|Dave Austin|Richard Partlow|Lance Henriksen|William Allen Young|Ben Hammer|Jeff Bridges|James Karen|Sanford Jensen|Woody Eney|Al Ruscio|Sharon Hanian|Sarah Cunningham|Glenn Close
3103::Stanley & Iris::Stanley & Iris::199::Jane Fonda|Robert De Niro|Swoosie Kurtz|Martha Plimpton|Harley Cross|Jamey Sheridan|Feodor Chaliapin Jr.|Zohra Lampert|Loretta Devine|Julie Garfield|Karen Ludwig|Kathy Kinney|Laurel Lyle|Mary Testa|Katherine Cortez
3104::Midnight Run::Midnight Run::1988::Robert De Niro|Charles Grodin|Yaphet Kotto|John Ashton|Dennis Farina|Joe Pantoliano|Richard Foronjy|Robert Miranda|Jack Kehoe|Wendy Phillips|Danielle DuClos|Philip Baker Hall|Tom McCleister|Mary Gillis|John Toles-Bey
3105::Awakenings::Awakenings::199::Robert De Niro|Robin Williams|Julie Kavner|Ruth Nelson|John Heard|Penelope Ann Miller|Alice Drummond|Judith Malina|Barton Heyman|George Martin|Anne Meara|Richard Libertini|Laura Esterman|Dexter Gordon|Jayne Haynes
3106::Come See the Paradise::Come See the Paradise::199::Dennis Quaid|Tamlyn Tomita|Sab Shimono|Shizuko Hoshi|Stan Egi|Ronald Yamamoto|Akemi Nishino|Naomi Nakano|Brady Tsurutani|Elizabeth Gilliam|Shyree Mezick|Caroline Junko King|Pruitt Taylor Vince|Colm Meaney|Becky Ann Baker
3107::Backdraft::Backdraft::1991::Kurt Russell|William Baldwin|Robert De Niro|Donald Sutherland|Jennifer Jason Leigh|Scott Glenn|Rebecca De Mornay|Jason Gedrick|J.T. Walsh|Anthony Mockus Sr.|Cedric Young|Juan RamÌrez|Kevin Casey|Jack McGee|Mark Wheeler
3108::"Fisher King, The"::"Fisher King, The "::1991::Jeff Bridges|Adam Bryant|Paul Lombardi|David Hyde Pierce|Ted Ross|Lara Harris|Warren Olney|Frazer Smith|Mercedes Ruehl|Kathy Najimy|Harry Shearer|Melinda Culea|James Remini|Mark Bowden|John Ottavino
3109::"River, The"::"River, The "::1984::None
3110::Country::Country::1984::Jessica Lange|Sam Shepard|Wilford Brimley|Matt Clark|Theresa Graham|Levi L. Knebel|Jim Haynie|Sandra Seacat|Alex Harvey|Stephanie-Stacy Poyner|Jim Ostercamp|Robert L. Somers|Frank Noel|Warren Duit|Conrad Doan
3111::Places in the Heart::Places in the Heart::1984::Sally Field|Lindsay Crouse|Ed Harris|Amy Madigan|John Malkovich|Danny Glover|Yankton Hatten|Gennie James|Lane Smith|Terry O'Quinn|Bert Remsen|Ray Baker|Jay Patterson|Toni Hudson|De'voreaux White
3112::'Night Mother::'Night Mother::1986::Sissy Spacek|Anne Bancroft|Ed Berke|Carol Robbins|Jennifer Roosendahl|Michael Kenworthy|Sari Walker|Claire Malis|
3113::End of Days::End of Days::1999::Arnold Schwarzenegger|Gabriel Byrne|Robin Tunney|Kevin Pollak|CCH Pounder|Derrick O'Connor|David Weisenberg|Rainer Judd|Miriam Margolyes|Udo Kier|Luciano Miele|Michael O'Hagan|Mark Margolis|Jack Shearer|Rod Steiger
3114::Toy Story 2::Toy Story 2::1999::Tom Hanks|Tim Allen|Joan Cusack|Kelsey Grammer|Don Rickles|Jim Varney|Wallace Shawn|John Ratzenberger|Annie Potts|Wayne Knight|John Morris|Laurie Metcalf|Estelle Harris|R. Lee Ermey|Jodi Benson
3115::Flawless::Flawless::1999::Robert De Niro|Philip Seymour Hoffman|Barry Miller|Chris Bauer|Skipp Sudduth|Wilson Jermaine Heredia|Nashom Benjamin|Scott Allen Cooper|Rory Cochrane|Daphne Rubin-Vega|Vincent Laresca|Karina Arroyave|John Enos III|Jude Ciccolella|Mina Bern
3116::Miss Julie::Miss Julie::1999::Saffron Burrows|Peter Mullan|Maria Doyle Kennedy|Tam Dean Burn|Heathcote Williams|Eileen Walsh|Sue Maund|Joanna Page|Andrea Ollson|Sara Li Gustafsson|Bill Ellis|Duncan MacAskill|Katie Cohen|Helen Cooper|Flora Bradwell
3117::Ride with the Devil::Ride with the Devil::1999::Tobey Maguire|Jeremy W. Auman|Scott Sener|Skeet Ulrich|Glenn Q. Pierce|Kathleen Warfel|David Darlow|Zan McLeod|John Whelan|Roger Landes|Jeffrey Dover|Tyler Johnson|Kelly Werts|Michael W. Nash|John Judd
3118::Tumbleweeds::Tumbleweeds::1999::Janet McTeer|Kimberly J. Brown|Jay O. Sanders|Gavin O'Connor|Laurel Holloman|Lois Smith|Michael J. Pollard|Ashley Buccille|Cody McMains|Linda Porter|Brian Tahash|Josh Carmichael|Dennis Ford|Sara Downing|Joel Polis
3119::Bay of Blood::Bay of Blood (Reazione a catena)::1971::Claudine Auger|Luigi Pistilli|Claudio Camaso|Anna Maria Rosati|Chris Avram|Leopoldo Trieste|Laura Betti|Brigitte Skay|Isa Miranda|Paola Montenero|Guido Boccaccini|Roberto Bonanni|Giovanni Nuvoletti
3120::"Distinguished Gentleman, The"::"Distinguished Gentleman, The "::1992::Eddie Murphy|Lane Smith|Sheryl Lee Ralph|Joe Don Baker|Victoria Rowell|Grant Shaud|Kevin McCarthy|Charles S. Dutton|Victor Rivers|Chi McBride|Sonny Jim Gaines|Noble Willingham|Gary Frank|Daniel Benzali|Cynthia Harris
3121::"Hitch-Hiker, The"::"Hitch-Hiker, The "::1953::Edmond O'Brien|Frank Lovejoy|William Talman|JosÈ Torvay|Sam Hayes|Wendell Niles|Jean Del Val|Clark Howat|Natividad VacÌo
3122::Santa Fe Trail::Santa Fe Trail::194::Errol Flynn|Olivia de Havilland|Raymond Massey|Ronald Reagan|Alan Hale|William Lundigan|Van Heflin|Gene Reynolds|Henry O'Neill|Guinn 'Big Boy' Williams|Alan Baxter|John Litel|Moroni Olsen|David Bruce|Hobart Cavanaugh
3123::Spring Fever USA::Spring Fever USA (a.k.a. Lauderdale)::1989::Renee Shugart|Darrel Guilbeau|Jeff Greenman|Janine Lindemulder|Darcy DuBois|Janine Mitchell|George Kosloff|Robert Moss|Mark Levine|Cari Mayor|Scott Hardy|Beano|Ron Jeremy|David Donham|Lara Belmonte
3124::Agnes Browne::Agnes Browne::1999::Anjelica Huston|Marion O'Dwyer|Niall O'Shea|Ciaran Owens|Roxanna Nic Liam|Carl Power|Mark Power|Gareth O'Connor|James Lappin|Ray Winstone|Arno Chevrier|Gerard McSorley|Tom Jones|June Rodgers|Jennifer Gibney
3125::"End of the Affair, The"::"End of the Affair, The "::1999::Ralph Fiennes|Stephen Rea|Julianne Moore|Heather-Jay Jones|James Bolam|Ian Hart|Sam Bould|Cyril Shaps|Penny Morrell|Simon Fisher-Turner|Jason Isaacs|Deborah Findlay|Nicholas Hewetson|Jack McKenzie|
3126::"End of the Affair, The"::"End of the Affair, The "::1955::Deborah Kerr|Van Johnson|John Mills|Peter Cushing|Michael Goodliffe|Stephen Murray|Charles Goldner|Nora Swinburne|Frederick Leister|Mary Williams|Laurence Shiel|Elsie Wagstaff|Christopher Warbey|Nan Munro|Joyce Carey
3127::Holy Smoke::Holy Smoke::1999::Kate Winslet|Harvey Keitel|Julie Hamilton|Sophie Lee|Dan Wyllie|Paul Goddard|Tim Robertson|George Rafael|Kerry Walker|Les Dayman|Samantha Murray|Sandy Gutman|Simon Anderson|Pam Grier|Eva Martin
3128::"Map of the World, A"::"Map of the World, A "::1999::Sigourney Weaver|Dara Perlmutter|David Strathairn|Kayla Perlmutter|Deborah Lobban|Marc Donato|Julianne Moore|ChloÎ Sevigny|Richard McMillan|Hayley Lochner|Victoria Rudiak|Ron Lea|Brenda Robins|Colleen Williams|Sarah Rosen Fruitman
3129::Sweet and Lowdown::Sweet and Lowdown::1999::Woody Allen|Ben Duncan|Daniel Okrent|Dan Moran|Tony Darrow|Chris Bauer|Sean Penn|Constance Shulman|Kellie Overbey|Darryl Alan Reed|Marc Damon Johnson|Ron Cephas Jones|Steve Bargonetti|Benjamin Franklin Brown|James Urbaniak
3130::Bonfire of the Vanities::Bonfire of the Vanities::199::None
3131::Broadway Damage::Broadway Damage::1997::Mara Hobel|Michael Lucas|Hugh Panaro|Aaron Williams|Alan Filderman|Gary Janetti|James Lecesne|Benim Foster|Jean Loup|Gerry McIntyre|Tyagi Schwartz|Barbara Winters Pinto|Sammy|Jonathan Walker|Richard M. Davidson
3132::Daddy Long Legs::Daddy Long Legs::1919::Mary Pickford|Milla Davenport|Percy Haswell|Fay Lemport|Mahlon Hamilton|Lillian Langdon|Betty Bouton|Audrey Chapman|Marshall Neilan|Carrie Clark Ward
3133::Go West::Go West::1925::Howard Truesdale|Kathleen Myers|Ray Thompson|Brown Eyes|Buster Keaton
3134::Grand Illusion::"Grand Illusion (Grande illusion, La) "::1937::Jean Gabin|Dita Parlo|Pierre Fresnay|Erich von Stroheim|Julien Carette|Georges PÈclet|Werner Florian|Jean DastÈ|Sylvain Itkine|Gaston Modot|Marcel Dalio|
3135::"Great Santini, The"::"Great Santini, The "::1979::Robert Duvall|Blythe Danner|Michael O'Keefe|Lisa Jane Persky|Julie Anne Haddock|Brian Andrews|Stan Shaw|Theresa Merritt|David Keith|Paul Mantee|Michael Strong|Bennett Liss|Joe Dorsey|David Frankham|Jan Stratton
3136::"James Dean Story, The"::"James Dean Story, The "::1957::Martin Gabel|James Dean
3137::"Sea Wolves, The"::"Sea Wolves, The "::198::Gregory Peck|Roger Moore|David Niven|Trevor Howard|Barbara Kellerman|Patrick Macnee|Kenneth Griffith|Patrick Allen|Wolf Kahler|Robert Hoffmann|Dan van Husen|George Mikell|J¸rgen Andersen|Bernard Archard|Martin Benson
3138::Stealing Home::Stealing Home::1988::Mark Harmon|Blair Brown|Jonathan Silverman|Harold Ramis|William McNamara|Richard Jenkins|John Shea|Jodie Foster|Christine Jones|Beth Broderick|Jane Brucker|Ted Ross|Thacher Goodwin|Yvette Croskey|Ollie Davidson
3139::Tarzan the Fearless::Tarzan the Fearless::1933::Buster Crabbe|Julie Bishop|Edward Woods|Philo McCullough|E. Alyn Warren|Mischa Auer|Matthew Betz|Frank Lackteen|
3140::"Three Ages, The"::"Three Ages, The "::1923::Buster Keaton|Margaret Leahy|Wallace Beery|Joe Roberts|Lillian Lawrence|Kewpie Morgan|
3141::"Two Jakes, The"::"Two Jakes, The "::199::Jack Nicholson|Harvey Keitel|Meg Tilly|Madeleine Stowe|Eli Wallach|RubÈn Blades|Frederic Forrest|David Keith|Richard Farnsworth|Tracey Walter|Joe Mantell|James Hong|Perry Lopez|Jeff Morris|Rebecca Broussard
3142::U2::U2:: Rattle and Hum::1988::None
3143::Hell in the Pacific::Hell in the Pacific::1968::Lee Marvin|ToshirÙ Mifune
3144::"Glass Bottom Boat, The"::"Glass Bottom Boat, The "::1966::None
3145::"Cradle Will Rock, The"::"Cradle Will Rock, The "::1999::Hank Azaria|RubÈn Blades|Joan Cusack|John Cusack|Cary Elwes|Philip Baker Hall|Cherry Jones|Angus Macfadyen|Bill Murray|Vanessa Redgrave|Susan Sarandon|Jamey Sheridan|John Turturro|Emily Watson|Bob Balaban
3146::Deuce Bigalow::Deuce Bigalow:: Male Gigolo::1999::Rob Schneider|William Forsythe|Eddie Griffin|Arija Bareikis|Oded Fehr|Gail O'Grady|Richard Riehle|Jacqueline Obradors|Big Boy|Amy Poehler|Dina Platias|Torsten Voges|Deborah Lemen|Bree Turner|Andrew Shaifer
3147::"Green Mile, The"::"Green Mile, The "::1999::Tom Hanks|David Morse|Bonnie Hunt|Michael Clarke Duncan|James Cromwell|Michael Jeter|Graham Greene|Doug Hutchison|Sam Rockwell|Barry Pepper|Jeffrey DeMunn|Patricia Clarkson|Harry Dean Stanton|Dabbs Greer|Eve Brent
3148::"Cider House Rules, The"::"Cider House Rules, The "::1999::Tobey Maguire|Charlize Theron|Delroy Lindo|Paul Rudd|Michael Caine|Jane Alexander|Kathy Baker|Erykah Badu|Kieran Culkin|Kate Nelligan|Heavy D|K. Todd Freeman|Paz de la Huerta|J.K. Simmons|Evan Parke
3149::Diamonds::Diamonds::1999::Kirk Douglas|Dan Aykroyd|Corbin Allred|Lauren Bacall|Kurt Fuller|Jenny McCarthy|Mariah O'Brien|June Chadwick|Lee Tergesen|Val Bisoglio|Allan Aaron Katz|Roy Conrad|John Landis|Joyce Bulifant|Liz Gandara
3150::"War Zone, The"::"War Zone, The "::1999::Annabelle Apsion|Kate Ashfield|Lara Belmont|Freddie Cunliffe|Colin Farrell|Aisling O'Sullivan|Tilda Swinton|Megan Thorp|Kim Wall|Ray Winstone
3151::"Bat Whispers, The"::"Bat Whispers, The "::193::Chance Ward|Richard Tucker|Wilson Benge|DeWitt Jennings|Sidney D'Albrook|S.E. Jennings|Grayce Hampton|Maude Eburne|Spencer Charters|Una Merkel|William Bakewell|Gustav von Seyffertitz|Chester Morris|Hugh Huntley|Charles Dow Clark
3152::"Last Picture Show, The"::"Last Picture Show, The "::1971::Timothy Bottoms|Jeff Bridges|Cybill Shepherd|Ben Johnson|Cloris Leachman|Ellen Burstyn|Eileen Brennan|Clu Gulager|Sam Bottoms|Sharon Ullrick|Randy Quaid|Joe Heathcock|Bill Thurman|Barc Doyle|Jessie Lee Fulton
3153::"7th Voyage of Sinbad, The"::"7th Voyage of Sinbad, The "::1958::Kerwin Mathews|Kathryn Grant|Richard Eyer|Torin Thatcher|Alec Mango|Danny Green|Harold Kasket|Alfred Brown|Nana DeHerrera|Nino Falanga|Luis Guedes|Virgilio Teixeira
3154::Blood on the Sun::Blood on the Sun::1945::James Cagney|Sylvia Sidney|Porter Hall|John Emery|Robert Armstrong|Wallace Ford|Rosemary DeCamp|John Halloran|Leonard Strong|James Bell|Marvin Miller|Rhys Williams|Frank Puglia
3155::Anna and the King::Anna and the King::1999::Jodie Foster|Yun-Fat Chow|Bai Ling|Tom Felton|Syed Alwi|Randall Duk Kim|Kay Siu Lim|Melissa Campbell|Keith Chin|Mano Maniam|Shanthini Venugopal|Deanna Yusoff|Geoffrey Palmer|Ann Firbank|Bill Stewart
3156::Bicentennial Man::Bicentennial Man::1999::Robin Williams|Embeth Davidtz|Sam Neill|Oliver Platt|Kiersten Warren|Wendy Crewson|Hallie Eisenberg|Lindze Letherman|Angela Landis|John Michael Higgins|Bradley Whitford|Igor Hiller|Joe Bellan|Brett Wagner|Stephen Root
3157::Stuart Little::Stuart Little::1999::Michael J. Fox|Geena Davis|Hugh Laurie|Jonathan Lipnicki|Nathan Lane|Chazz Palminteri|Steve Zahn|Jim Doughan|David Alan Grier|Bruno Kirby|Jennifer Tilly|Stan Freberg|Jeffrey Jones|Connie Ray|Allyce Beasley
3158::"Emperor and the Assassin, The"::"Emperor and the Assassin, The (Jing ke ci qin wang) "::1999::Li Gong|Fengyi Zhang|Zhou Sun|Xiaohe L¸|Zhiwen Wang|Kaige Chen|Yongfei Gu|Benshan Zhao|Haifeng Ding|Changjiang Pan|Xun Zhou|Xuejian Li|Xu Chu|Dong Han|Bing Lin
3159::Fantasia 2::Fantasia 2::1999::Steve Martin|Itzhak Perlman|Quincy Jones|Bette Midler|James Earl Jones|Penn Jillette|Teller|James Levine|Angela Lansbury|Wayne Allwine|Tony Anselmo|Russi Taylor
3160::Magnolia::Magnolia::1999::Pat Healy|Genevieve Zweig|Mark Flanagan|Neil Flynn|Rod McLachlan|Allan Graf|Patton Oswalt|Raymond 'Big Guy' Gonzales|Brad Hunt|Jim Meskimen|Chris O'Hara|Clement Blake|Frank Elmore|John Kraft Seitz|Cory Buck
3161::Onegin::Onegin::1999::Ralph Fiennes|Liv Tyler|Toby Stephens|Lena Headey|Martin Donovan|Alun Armstrong|Simon McBurney|Harriet Walter|Jason Watkins|Irene Worth|Gwenllian Davies|Margery Withers|Geoffrey McGivern|Tim McMullan|Tim Potter
3162::Simpatico::Simpatico::1999::Nick Nolte|Jeff Bridges|Sharon Stone|Catherine Keener|Albert Finney|Shawn Hatosy|Kimberly Williams-Paisley|Liam Waite|Whit Crawford|Bob Harter|Angus T. Jones|Ken Strunk|Ashley Guthrie Baker|Maria Carretero|Nicole Forester
3163::Topsy-Turvy::Topsy-Turvy::1999::Allan Corduner|Dexter Fletcher|Sukie Smith|Roger Heathcott|Wendy Nottingham|Stefan Bednarczyk|Geoffrey Hutchings|Timothy Spall|Francis Lee|William Neenan|Adam Searle|Martin Savage|Jim Broadbent|Lesley Manville|Kate Doherty
3164::"Alley Cats, The"::"Alley Cats, The "::1968::None
3165::Boiling Point::Boiling Point::1993::Wesley Snipes|Dennis Hopper|Lolita Davidovich|Viggo Mortensen|Seymour Cassel|Jonathan Banks|Christine Elise|Tony Lo Bianco|Valerie Perrine|James Tolkan|Paul Gleason|Lorraine Evanoff|Stephanie Williams|Tobin Bell|Bobby Hosea
3166::Brenda Starr::Brenda Starr::1989::Brooke Shields|Timothy Dalton|Tony Peck|Diana Scarwid|Nestor Serrano|Jeffrey Tambor|June Gable|Charles Durning|Kathleen Wilhoite|John Short|Eddie Albert|Mark von Holstein|Henry Gibson|Ed Nelson|Tom Aldredge
3167::Carnal Knowledge::Carnal Knowledge::1971::Jack Nicholson|Ann-Margret|Art Garfunkel|Candice Bergen|Rita Moreno|Cynthia O'Neal|Carol Kane
3168::Easy Rider::Easy Rider::1969::Peter Fonda|Dennis Hopper|Antonio Mendoza|Phil Spector|Mac Mashourian|Warren Finnerty|Tita Colorado|Luke Askew|Luana Anders|Sabrina Scharf|Sandy Brown Wyeth|Robert Walker Jr.|Robert Ball|Carmen Phillips|Ellie Wood Walker
3169::"Falcon and the Snowman, The"::"Falcon and the Snowman, The "::1984::Timothy Hutton|Sean Penn|Pat Hingle|Joyce Van Patten|Rob Reed|Rob Newell|Karen West|Art Camacho|Annie Kozuch|Richard Dysart|Priscilla Pointer|Chris Makepeace|Dorian Harewood|Mady Kaplan|Macon McCalman
3170::Hi-Yo Silver::Hi-Yo Silver::194::Chief Thundercloud|Lynne Roberts|Stanley Andrews|George Cleveland|William Farnum|Hal Taliaferro|Bruce Bennett|Lee Powell|Lane Chandler|George Montgomery|John Merton|Sammy McKim|Tom London|Ray Bennett|Maston Williams
3171::Room at the Top::Room at the Top::1959::Simone Signoret|Laurence Harvey|Heather Sears|Donald Wolfit|Donald Houston|Hermione Baddeley|Allan Cuthbertson|Raymond Huntley|John Westbrook|Ambrosine Phillpotts|Richard Pasco|Beatrice Varley|Delena Kidd|Ian Hendry|April Olrich
3172::Ulysses::Ulysses (Ulisse)::1954::None
3173::Any Given Sunday::Any Given Sunday::1999::Al Pacino|Cameron Diaz|Dennis Quaid|James Woods|Jamie Foxx|LL Cool J|Matthew Modine|Jim Brown|Lawrence Taylor|Bill Bellamy|Andrew Bryniarski|Lela Rochon|Lauren Holly|Ann-Margret|Aaron Eckhart
3174::Man on the Moon::Man on the Moon::1999::Jim Carrey|Gerry Becker|Greyson Erik Pendry|Brittany Colonna|Leslie Lyles|Bobby Boriello|George Shapiro|Danny DeVito|Budd Friedman|Tom Dreesen|Thomas Armbruster|Pamela Abdy|Wendy Polland|Cash Oshman|Matt Price
3175::Galaxy Quest::Galaxy Quest::1999::Tim Allen|Sigourney Weaver|Alan Rickman|Tony Shalhoub|Sam Rockwell|Daryl Mitchell|Enrico Colantoni|Robin Sachs|Patrick Breen|Missi Pyle|Jed Rees|Justin Long|Jeremy Howard|Kaitlin Cullum|Jonathan Feyer
3176::"Talented Mr. Ripley, The"::"Talented Mr. Ripley, The "::1999::Matt Damon|Gwyneth Paltrow|Jude Law|Cate Blanchett|Philip Seymour Hoffman|Jack Davenport|James Rebhorn|Sergio Rubini|Philip Baker Hall|Celia Weston|Fiorello|Stefania Rocca|Ivano Marescotti|Anna Longhi|Alessandro Fabrizi
3177::Next Friday::Next Friday::1999::Ice Cube|Mike Epps|Justin Pierce|John Witherspoon|Don 'D.C.' Curry|Jacob Vargas|Lobo Sebastian|Rolando Molina|Lisa RodrÌguez|Tommy 'Tiny' Lister|Kym Whitley|Amy Hill|Tamala Jones|The Lady of Rage|Carmen Serano
3178::"Hurricane, The"::"Hurricane, The "::1999::Denzel Washington|Vicellous Shannon|Deborah Kara Unger|Liev Schreiber|John Hannah|Dan Hedaya|Debbi Morgan|Clancy Brown|David Paymer|Harris Yulin|Rod Steiger|Badja Djola|Vincent Pastore|Al Waxman|David Lansbury
3179::Angela's Ashes::Angela's Ashes::1999::Emily Watson|Robert Carlyle|Joe Breen|Ciaran Owens|Michael Legge|Ronnie Masterson|Pauline McLynn|Liam Carney|Eanna MacLiam|Andrew Bennett|Shane Murray-Corcoran|Devon Murray|Peter Halpin|Aaron Geraghty|Sean Carney Daly
3180::Play it to the Bone::Play it to the Bone::1999::Antonio Banderas|Woody Harrelson|Lolita Davidovich|Marie Park|Tom Sizemore|Lucy Liu|Robert Wagner|Richard Masur|Willie Garson|Cylk Cozart|Jack Carter|Aida Turturro|Louie Leonardo|Slade Barnett|Cameron Milzer
3181::Titus::Titus::1999::Osheen Jones|Dario D'Ambrosi|Anthony Hopkins|Jessica Lange|Raz Degan|Jonathan Rhys Meyers|Matthew Rhys|Harry Lennix|Angus Macfadyen|Kenny Doughty|Blake Ritson|Colin Wells|Ettore Geri|Alan Cumming|James Frain
3182::Mr. Death::Mr. Death:: The Rise and Fall of Fred A. Leuchter Jr.::1999::Fred A. Leuchter Jr.|Robert Jan Van Pelt|David Irving|Caroline Leuchter|James Roth|Shelly Shapiro|Suzanne Tabasky|Ernst Z¸ndel|David Collins|Daniel Polsby|Jeff Brown|Robert Duerr
